iter	Passed	Remaining
0	39	3922
1	71	3525
2	105	3400
3	138	3314
4	168	3193
5	198	3115
6	232	3087
7	278	3205
8	317	3210
9	348	3137
10	380	3076
11	415	3043
12	451	3022
13	486	2988
14	520	2950
15	552	2902
16	586	2863
17	617	2811
18	657	2800
19	693	2774
20	749	2819
21	780	2767
22	812	2720
23	846	2681
24	881	2645
25	914	2604
26	951	2572
27	988	2541
28	1021	2501
29	1056	2464
30	1094	2436
31	1127	2395
32	1162	2360
33	1195	2320
34	1227	2279
35	1274	2266
36	1312	2235
37	1346	2196
38	1377	2153
39	1411	2117
40	1445	2080
41	1478	2041
42	1516	2010
43	1549	1971
44	1583	1935
45	1621	1903
46	1658	1870
47	1692	1833
48	1735	1806
49	1769	1769
50	1804	1733
51	1838	1696
52	1871	1659
53	1906	1623
54	1945	1592
55	1979	1555
56	2013	1518
57	2047	1482
58	2082	1446
59	2114	1409
60	2162	1382
61	2200	1348
62	2233	1311
63	2282	1283
64	2317	1247
65	2357	1214
66	2395	1179
67	2428	1142
68	2463	1106
69	2496	1069
70	2528	1032
71	2568	998
72	2603	962
73	2636	926
74	2668	889
75	2710	855
76	2745	820
77	2784	785
78	2825	751
79	2858	714
80	2891	678
81	2923	641
82	2956	605
83	2998	571
84	3035	535
85	3071	499
86	3104	463
87	3145	428
88	3179	392
89	3218	357
90	3269	323
91	3304	287
92	3340	251
93	3372	215
94	3404	179
95	3447	143
96	3483	107
97	3517	71
98	3553	35
99	3589	0
